datetime,demand_MW,temperature,humidity,wind_speed,pressure,precipitation,holiday,weekend,hour,day_of_week,month,season
2021-01-01 00:00:00,3496.9,0.7,73.9,13.8,1004.1,0.2,1,0,0,4,1,Winter
2021-01-01 01:00:00,3525.2,0.6,83.1,13.3,1009.2,0.6,1,0,1,4,1,Winter
2021-01-01 02:00:00,3290.1,1.0,59.7,9.0,1019.5,1.0,1,0,2,4,1,Winter
2021-01-01 03:00:00,3284.3,0.4,57.9,14.9,1013.5,0.0,1,0,3,4,1,Winter
2021-01-01 04:00:00,3449.4,2.7,70.9,5.2,1008.2,0.0,1,0,4,4,1,Winter
2021-01-01 05:00:00,4323.8,2.2,73.7,9.9,1019.6,0.0,1,0,5,4,1,Winter
2021-01-01 06:00:00,4204.4,9.2,84.5,5.4,1018.9,0.7,1,0,6,4,1,Winter
2021-01-01 07:00:00,4110.2,6.1,72.6,8.4,1019.2,0.0,1,0,7,4,1,Winter
2021-01-01 08:00:00,4992.4,8.0,60.9,4.7,1017.7,0.0,1,0,8,4,1,Winter
2021-01-01 09:00:00,4981.3,7.3,72.5,16.9,1000.9,1.1,1,0,9,4,1,Winter
2021-01-01 10:00:00,4684.1,11.1,67.8,12.1,1012.4,3.7,1,0,10,4,1,Winter
2021-01-01 11:00:00,4445.8,10.4,87.3,14.6,1040.0,0.0,1,0,11,4,1,Winter
2021-01-01 12:00:00,4280.1,10.1,72.6,7.4,1020.2,1.6,1,0,12,4,1,Winter
2021-01-01 13:00:00,4529.6,8.6,80.9,3.4,1006.5,0.0,1,0,13,4,1,Winter
2021-01-01 14:00:00,4410.0,10.1,84.3,17.2,1008.8,0.0,1,0,14,4,1,Winter
2021-01-01 15:00:00,4306.4,10.6,76.4,18.1,1007.4,1.7,1,0,15,4,1,Winter
2021-01-01 16:00:00,4738.5,7.9,77.1,1.0,991.8,0.4,1,0,16,4,1,Winter
2021-01-01 17:00:00,4698.4,7.0,73.7,7.5,1028.1,0.0,1,0,17,4,1,Winter
2021-01-01 18:00:00,5274.0,5.0,61.6,7.2,1013.5,1.0,1,0,18,4,1,Winter
2021-01-01 19:00:00,5285.0,3.4,77.4,4.7,1015.7,3.3,1,0,19,4,1,Winter
2021-01-01 20:00:00,5090.7,1.3,81.2,13.7,1024.2,0.0,1,0,20,4,1,Winter
2021-01-01 21:00:00,5183.7,0.1,75.6,16.1,1005.1,2.7,1,0,21,4,1,Winter
2021-01-01 22:00:00,4153.6,-1.7,75.5,12.2,1017.3,0.0,1,0,22,4,1,Winter
2021-01-01 23:00:00,4308.8,-1.0,72.4,19.3,1010.1,0.0,1,0,23,4,1,Winter
2021-01-02 00:00:00,3444.1,0.3,85.5,10.4,1010.4,0.0,0,1,0,5,1,Winter
2021-01-02 01:00:00,3372.8,0.6,81.3,7.7,1023.4,0.0,0,1,1,5,1,Winter
2021-01-02 02:00:00,3565.1,1.0,77.8,12.2,1014.8,0.3,0,1,2,5,1,Winter
2021-01-02 03:00:00,3539.8,1.7,65.3,13.0,1003.5,0.0,0,1,3,5,1,Winter
2021-01-02 04:00:00,3507.2,1.4,66.0,14.1,1020.7,0.0,0,1,4,5,1,Winter
2021-01-02 05:00:00,4377.8,2.4,76.2,8.1,1005.9,0.0,0,1,5,5,1,Winter
2021-01-02 06:00:00,4338.4,6.3,73.1,12.0,1013.1,0.0,0,1,6,5,1,Winter
2021-01-02 07:00:00,4517.1,4.2,74.7,13.6,1004.4,0.0,0,1,7,5,1,Winter
2021-01-02 08:00:00,4651.9,7.3,80.9,22.1,1006.2,0.0,0,1,8,5,1,Winter
2021-01-02 09:00:00,4913.8,7.1,70.9,10.8,1014.4,0.0,0,1,9,5,1,Winter
2021-01-02 10:00:00,4685.4,9.7,68.5,25.8,1013.5,0.0,0,1,10,5,1,Winter
2021-01-02 11:00:00,4447.9,11.1,83.5,13.2,1002.0,0.0,0,1,11,5,1,Winter
2021-01-02 12:00:00,4705.9,10.5,77.1,18.8,1017.1,0.0,0,1,12,5,1,Winter
2021-01-02 13:00:00,4345.8,11.8,82.9,15.1,1010.5,0.0,0,1,13,5,1,Winter
2021-01-02 14:00:00,4469.0,9.6,68.2,2.3,1031.5,0.0,0,1,14,5,1,Winter
2021-01-02 15:00:00,4823.8,7.9,75.6,2.3,1009.2,2.2,0,1,15,5,1,Winter
2021-01-02 16:00:00,4885.5,6.4,80.4,11.9,1032.1,0.0,0,1,16,5,1,Winter
2021-01-02 17:00:00,4754.4,3.3,76.5,15.1,1009.4,0.1,0,1,17,5,1,Winter
2021-01-02 18:00:00,5206.0,3.8,88.3,5.2,1009.2,0.0,0,1,18,5,1,Winter
2021-01-02 19:00:00,5103.2,5.1,85.1,6.9,1030.0,0.0,0,1,19,5,1,Winter
2021-01-02 20:00:00,5350.1,1.4,64.8,14.3,1016.6,0.0,0,1,20,5,1,Winter
2021-01-02 21:00:00,5121.5,1.4,67.5,9.6,1011.0,0.0,0,1,21,5,1,Winter
2021-01-02 22:00:00,4119.9,3.0,85.6,2.6,1024.5,0.0,0,1,22,5,1,Winter
2021-01-02 23:00:00,4212.7,0.8,82.3,5.1,1014.6,2.6,0,1,23,5,1,Winter
2021-01-03 00:00:00,3728.2,0.2,80.3,8.4,1008.1,0.0,0,1,0,6,1,Winter
2021-01-03 01:00:00,3460.1,-0.1,79.7,21.6,1009.1,0.0,0,1,1,6,1,Winter
2021-01-03 02:00:00,3661.4,-0.2,81.8,4.3,1020.6,0.0,0,1,2,6,1,Winter
