Date,Open,High,Low,Close,Volume
2010-01-01,421.25,421.25,418.03,420.0,4608027
2010-01-04,418.24,434.01,418.24,430.67,16619599
2010-01-05,430.84,442.45,430.84,438.77,9933699
2010-01-06,437.92,438.2,437.24,437.73,2560889
2010-01-07,438.48,441.55,430.75,436.7,2281757
2010-01-08,436.93,447.1,436.93,445.61,5825432
2010-01-11,445.89,451.6,445.89,449.46,4215333
2010-01-12,448.08,450.02,444.81,447.13,3282229
2010-01-13,448.33,452.34,446.34,450.25,4624036
2010-01-14,447.59,452.58,441.64,447.95,4759422
2010-01-15,450.74,450.74,444.76,446.09,4162745
2010-01-18,449.03,450.99,444.24,447.14,3902930
2010-01-19,451.26,451.26,435.17,437.08,2556738
2010-01-20,434.84,434.84,427.32,428.23,4682734
2010-01-21,429.5,430.37,421.9,425.53,5354517
2010-01-22,423.42,426.53,417.54,420.97,5614656
2010-01-25,419.09,425.3,419.09,422.33,4668915
2010-01-27,421.62,421.62,416.01,417.92,3284907
2010-01-28,417.61,417.61,408.48,411.02,5322334
2010-01-29,414.67,421.55,414.67,418.85,5936247
2010-02-01,418.75,419.49,414.27,417.48,4942442
2010-02-02,415.15,421.33,411.36,418.01,5242705
2010-02-03,420.98,420.98,406.0,411.05,6002481
2010-02-04,411.14,412.1,402.58,408.55,3388281
2010-02-05,411.93,412.59,406.72,409.69,3457875
2010-02-08,412.91,412.91,401.95,403.8,3679616
2010-02-09,402.17,408.08,402.17,405.81,2110134
2010-02-10,405.1,406.92,398.51,403.06,3458883
2010-02-11,407.54,407.54,400.1,401.83,3410558
2010-02-12,401.65,405.42,394.87,399.52,4537757
2010-02-15,400.28,412.08,400.28,408.18,4033179
2010-02-16,410.1,411.66,403.76,408.29,4685554
2010-02-17,402.93,411.38,397.36,403.29,5926565
2010-02-18,403.55,410.43,403.55,407.46,2258828
2010-02-19,407.25,407.59,397.17,402.08,5405614
2010-02-22,402.51,406.98,400.44,402.87,2902857
2010-02-23,400.97,400.97,388.22,393.57,2787023
2010-02-24,390.32,390.32,384.66,387.48,2769715
2010-02-25,384.77,391.14,384.43,388.57,5148948
2010-02-26,389.6,395.66,388.8,392.57,3104797
2010-03-01,392.74,394.96,391.67,393.16,4041202
2010-03-02,394.49,394.49,391.92,392.8,3389716
2010-03-03,395.29,395.39,387.9,391.55,5176897
2010-03-04,384.88,387.21,381.69,384.78,3288053
2010-03-05,381.37,387.76,379.15,382.02,3006015
2010-03-08,382.65,383.51,373.77,379.69,2224724
2010-03-09,376.19,386.24,376.19,384.68,3325329
2010-03-11,386.91,388.62,383.64,386.44,5306623
